epoch	lr	loss_train	loss_test	err_test
1	0.00100	0.14883	0.06041	55.02124	
2	0.00100	0.09032	0.05329	51.27238	
3	0.00100	0.08188	0.05292	50.77591	
4	0.00100	0.07702	0.04901	49.50483	
5	0.00096	0.07331	0.04752	49.06929	
6	0.00096	0.07086	0.04599	47.79397	
7	0.00096	0.06890	0.04526	47.52370	
8	0.00096	0.06753	0.04593	47.34349	
9	0.00092	0.06583	0.04676	48.01539	
10	0.00092	0.06490	0.04400	47.20392	
11	0.00092	0.06391	0.04500	47.03975	
12	0.00092	0.06313	0.04663	48.15698	
13	0.00088	0.06230	0.04384	46.72612	
14	0.00088	0.06154	0.04318	46.44396	
15	0.00088	0.06092	0.04468	47.00953	
16	0.00088	0.06040	0.04284	46.46094	
17	0.00085	0.05985	0.04156	45.35626	
18	0.00085	0.05938	0.04209	45.72389	
19	0.00085	0.05895	0.04160	45.45576	
20	0.00085	0.05863	0.04183	45.55952	
21	0.00082	0.05814	0.04204	45.16420	
22	0.00082	0.05779	0.04137	45.17084	
23	0.00082	0.05745	0.04399	46.89447	
24	0.00082	0.05712	0.04384	46.84157	
25	0.00078	0.05676	0.04500	47.44972	
26	0.00078	0.05644	0.04370	46.42578	
27	0.00078	0.05623	0.04100	45.18564	
28	0.00078	0.05601	0.04347	46.42698	
29	0.00075	0.05574	0.04517	47.35638	
30	0.00075	0.05544	0.04206	45.70319	
31	0.00075	0.05521	0.04143	45.42653	
32	0.00075	0.05505	0.04091	44.95947	
33	0.00072	0.05480	0.04082	44.85491	
34	0.00072	0.05457	0.04128	45.41172	
35	0.00072	0.05436	0.03970	44.32934	
36	0.00072	0.05423	0.04286	46.34014	
37	0.00069	0.05403	0.04331	46.32579	
38	0.00069	0.05382	0.04159	45.66664	
39	0.00069	0.05368	0.04039	44.90868	
40	0.00069	0.05356	0.04021	44.66281	
41	0.00069	0.05342	0.04344	45.66145	
42	0.00066	0.05314	0.04074	44.99231	
43	0.00066	0.05302	0.04168	45.31125	
44	0.00066	0.05287	0.04159	45.90153	
45	0.00066	0.05278	0.04077	45.20635	
46	0.00064	0.05255	0.04278	46.19649	
47	0.00064	0.05242	0.03969	44.48137	
48	0.00064	0.05234	0.04114	45.06476	
49	0.00064	0.05227	0.04049	44.57147	
50	0.00061	0.05206	0.04142	45.07952	
51	0.00061	0.05187	0.04273	45.81977	
52	0.00061	0.05182	0.04045	44.37376	
53	0.00061	0.05182	0.04057	44.49996	
54	0.00059	0.05166	0.04181	46.29057	
55	0.00059	0.05143	0.04090	45.01596	
56	0.00059	0.05136	0.04266	46.14131	
57	0.00059	0.05131	0.04002	44.38650	
58	0.00056	0.05121	0.04196	45.96477	
59	0.00056	0.05103	0.03957	44.25678	
60	0.00056	0.05102	0.04147	45.22742	
61	0.00056	0.05094	0.04074	45.03792	
62	0.00054	0.05077	0.04013	44.07162	
63	0.00054	0.05071	0.03970	44.20780	
64	0.00054	0.05062	0.04136	45.29490	
65	0.00054	0.05061	0.03953	44.29259	
